warning_id,project,split,snippet_id,snippet_type,annotator_A,annotator_B,merged_relevance
commons-lang#0008,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0008,commons-lang,train,s04,field_or_type_declaration,helpful,irrelevant,helpful
commons-lang#0008,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0009,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0009,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0009,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0009,commons-lang,train,s04,callee,helpful,helpful,helpful
commons-lang#0009,commons-lang,train,s06,field_or_type_declaration,helpful,essential,essential
commons-lang#0009,commons-lang,train,s07,test,irrelevant,helpful,helpful
commons-lang#0010,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0010,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0010,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0010,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0010,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0010,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0010,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0010,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0010,commons-lang,train,s09,test,irrelevant,irrelevant,irrelevant
commons-lang#0010,commons-lang,train,s10,similar_code,helpful,irrelevant,helpful
commons-lang#0011,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0011,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0011,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0011,commons-lang,train,s04,caller,helpful,irrelevant,helpful
commons-lang#0011,commons-lang,train,s05,caller,helpful,irrelevant,helpful
commons-lang#0011,commons-lang,train,s06,caller,helpful,irrelevant,helpful
commons-lang#0011,commons-lang,train,s07,callee,helpful,irrelevant,helpful
commons-lang#0011,commons-lang,train,s09,field_or_type_declaration,helpful,essential,essential
commons-lang#0011,commons-lang,train,s10,annotation_or_contract,helpful,helpful,helpful
commons-lang#0012,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0012,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0012,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0012,commons-lang,train,s04,caller,helpful,irrelevant,helpful
commons-lang#0012,commons-lang,train,s05,callee,helpful,irrelevant,helpful
commons-lang#0012,commons-lang,train,s07,field_or_type_declaration,helpful,essential,essential
commons-lang#0012,commons-lang,train,s08,annotation_or_contract,helpful,helpful,helpful
commons-lang#0012,commons-lang,train,s09,test,irrelevant,helpful,helpful
commons-lang#0013,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0013,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0013,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0013,commons-lang,train,s04,callee,helpful,helpful,helpful
commons-lang#0013,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0013,commons-lang,train,s06,similar_code,helpful,irrelevant,helpful
commons-lang#0014,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0014,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0014,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0014,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0014,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0014,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0014,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0014,commons-lang,train,s08,field_or_type_declaration,essential,essential,essential
commons-lang#0014,commons-lang,train,s09,test,irrelevant,helpful,helpful
commons-lang#0015,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0015,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0015,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0015,commons-lang,train,s04,field_or_type_declaration,helpful,essential,essential
commons-lang#0015,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0015,commons-lang,train,s06,similar_code,helpful,helpful,helpful
commons-lang#0016,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0016,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0016,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0016,commons-lang,train,s04,callee,helpful,helpful,helpful
commons-lang#0016,commons-lang,train,s05,field_or_type_declaration,helpful,essential,essential
commons-lang#0016,commons-lang,train,s06,test,irrelevant,helpful,helpful
commons-lang#0016,commons-lang,train,s07,similar_code,helpful,helpful,helpful
commons-lang#0017,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0017,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0017,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0017,commons-lang,train,s04,callee,helpful,helpful,helpful
commons-lang#0017,commons-lang,train,s06,field_or_type_declaration,helpful,helpful,helpful
commons-lang#0017,commons-lang,train,s07,annotation_or_contract,helpful,essential,essential
commons-lang#0017,commons-lang,train,s08,test,irrelevant,irrelevant,irrelevant
commons-lang#0018,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0018,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0018,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0018,commons-lang,train,s04,field_or_type_declaration,helpful,irrelevant,helpful
commons-lang#0018,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0019,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0019,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0019,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0019,commons-lang,train,s05,field_or_type_declaration,helpful,essential,essential
commons-lang#0019,commons-lang,train,s06,test,irrelevant,helpful,helpful
commons-lang#0019,commons-lang,train,s07,similar_code,helpful,irrelevant,helpful
commons-lang#0020,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0020,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0020,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0020,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0020,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0020,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0020,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0020,commons-lang,train,s09,field_or_type_declaration,essential,essential,essential
commons-lang#0020,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0022,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0022,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0022,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0022,commons-lang,train,s04,field_or_type_declaration,helpful,essential,essential
commons-lang#0022,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0022,commons-lang,train,s06,similar_code,helpful,helpful,helpful
commons-lang#0023,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0023,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0023,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0023,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0023,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0023,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0023,commons-lang,train,s07,test,irrelevant,helpful,helpful
commons-lang#0023,commons-lang,train,s08,similar_code,helpful,helpful,helpful
commons-lang#0024,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0024,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0024,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0024,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0024,commons-lang,train,s05,callee,helpful,irrelevant,helpful
commons-lang#0025,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0025,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0025,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0025,commons-lang,train,s04,caller,helpful,irrelevant,helpful
commons-lang#0025,commons-lang,train,s05,caller,helpful,irrelevant,helpful
commons-lang#0025,commons-lang,train,s06,caller,helpful,irrelevant,helpful
commons-lang#0025,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0025,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0025,commons-lang,train,s09,field_or_type_declaration,helpful,helpful,helpful
commons-lang#0025,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0027,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0027,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0027,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0027,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0027,commons-lang,train,s05,callee,helpful,irrelevant,helpful
commons-lang#0027,commons-lang,train,s06,callee,helpful,helpful,helpful
commons-lang#0027,commons-lang,train,s07,field_or_type_declaration,essential,essential,essential
commons-lang#0027,commons-lang,train,s08,test,irrelevant,helpful,helpful
commons-lang#0027,commons-lang,train,s09,similar_code,helpful,irrelevant,helpful
commons-lang#0028,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0028,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0028,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0028,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0028,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0028,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0028,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0028,commons-lang,train,s08,callee,helpful,irrelevant,helpful
commons-lang#0028,commons-lang,train,s09,field_or_type_declaration,essential,essential,essential
commons-lang#0028,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0029,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0029,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0029,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0029,commons-lang,train,s04,field_or_type_declaration,helpful,essential,essential
commons-lang#0029,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0029,commons-lang,train,s06,similar_code,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0030,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0030,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0030,commons-lang,train,s09,field_or_type_declaration,helpful,essential,essential
commons-lang#0030,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0031,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0031,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0031,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0031,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0031,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0031,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0031,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0031,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0031,commons-lang,train,s09,test,irrelevant,irrelevant,irrelevant
commons-lang#0031,commons-lang,train,s10,similar_code,helpful,irrelevant,helpful
commons-lang#0032,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0032,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0032,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0032,commons-lang,train,s04,callee,helpful,irrelevant,helpful
commons-lang#0032,commons-lang,train,s05,callee,helpful,helpful,helpful
commons-lang#0032,commons-lang,train,s06,field_or_type_declaration,helpful,irrelevant,helpful
commons-lang#0032,commons-lang,train,s07,annotation_or_contract,helpful,irrelevant,helpful
commons-lang#0033,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0033,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0033,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0033,commons-lang,train,s04,caller,helpful,irrelevant,helpful
commons-lang#0033,commons-lang,train,s05,callee,helpful,irrelevant,helpful
commons-lang#0033,commons-lang,train,s07,field_or_type_declaration,helpful,essential,essential
commons-lang#0033,commons-lang,train,s08,annotation_or_contract,helpful,helpful,helpful
commons-lang#0033,commons-lang,train,s09,test,irrelevant,helpful,helpful
commons-lang#0034,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0034,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0034,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0034,commons-lang,train,s04,caller,helpful,irrelevant,helpful
commons-lang#0034,commons-lang,train,s05,caller,helpful,irrelevant,helpful
commons-lang#0034,commons-lang,train,s06,field_or_type_declaration,helpful,essential,essential
commons-lang#0034,commons-lang,train,s07,test,irrelevant,helpful,helpful
commons-lang#0034,commons-lang,train,s08,similar_code,helpful,irrelevant,helpful
commons-lang#0035,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0035,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0035,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0035,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0035,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0035,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0035,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0035,commons-lang,train,s08,callee,helpful,irrelevant,helpful
commons-lang#0035,commons-lang,train,s09,field_or_type_declaration,essential,essential,essential
commons-lang#0035,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0036,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0036,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0036,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0036,commons-lang,train,s04,field_or_type_declaration,helpful,essential,essential
commons-lang#0036,commons-lang,train,s05,test,irrelevant,helpful,helpful
commons-lang#0036,commons-lang,train,s06,similar_code,helpful,helpful,helpful
commons-lang#0037,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0037,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0037,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0037,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0037,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0037,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0037,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0037,commons-lang,train,s08,callee,helpful,irrelevant,helpful
commons-lang#0037,commons-lang,train,s09,test,irrelevant,helpful,helpful
commons-lang#0037,commons-lang,train,s10,similar_code,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0038,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0038,commons-lang,train,s03,enclosing_class,helpful,essential,essential
commons-lang#0038,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0038,commons-lang,train,s09,test,irrelevant,irrelevant,irrelevant
commons-lang#0038,commons-lang,train,s10,similar_code,helpful,irrelevant,helpful
commons-cli#0001,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0001,commons-cli,train,s02,enclosing_method,essential,essential,essential
commons-cli#0001,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0001,commons-cli,train,s04,field_or_type_declaration,essential,essential,essential
commons-cli#0001,commons-cli,train,s05,test,irrelevant,helpful,helpful
commons-cli#0002,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0002,commons-cli,train,s02,enclosing_method,essential,helpful,essential
commons-cli#0002,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0002,commons-cli,train,s04,caller,helpful,irrelevant,helpful
commons-cli#0002,commons-cli,train,s05,caller,helpful,irrelevant,helpful
commons-cli#0002,commons-cli,train,s06,callee,helpful,irrelevant,helpful
commons-cli#0002,commons-cli,train,s08,field_or_type_declaration,helpful,essential,essential
commons-cli#0002,commons-cli,train,s09,test,irrelevant,helpful,helpful
commons-cli#0003,commons-cli,train,s01,warning_line,essential,helpful,essential
commons-cli#0003,commons-cli,train,s02,enclosing_method,essential,essential,essential
commons-cli#0003,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0003,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0003,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0003,commons-cli,train,s06,caller,helpful,irrelevant,helpful
commons-cli#0003,commons-cli,train,s07,field_or_type_declaration,helpful,essential,essential
commons-cli#0003,commons-cli,train,s08,test,irrelevant,helpful,helpful
commons-cli#0003,commons-cli,train,s09,similar_code,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0004,commons-cli,train,s02,enclosing_method,essential,helpful,essential
commons-cli#0004,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s06,caller,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s07,callee,helpful,helpful,helpful
commons-cli#0004,commons-cli,train,s08,field_or_type_declaration,essential,essential,essential
commons-cli#0004,commons-cli,train,s09,test,irrelevant,helpful,helpful
commons-cli#0004,commons-cli,train,s10,similar_code,helpful,irrelevant,helpful
commons-cli#0005,commons-cli,train,s01,warning_line,essential,helpful,essential
commons-cli#0005,commons-cli,train,s02,enclosing_method,essential,essential,essential
commons-cli#0005,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0005,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0005,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0005,commons-cli,train,s06,caller,helpful,irrelevant,helpful
commons-cli#0005,commons-cli,train,s07,field_or_type_declaration,helpful,essential,essential
commons-cli#0005,commons-cli,train,s08,test,irrelevant,helpful,helpful
commons-cli#0005,commons-cli,train,s09,similar_code,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0006,commons-cli,train,s02,enclosing_method,essential,helpful,essential
commons-cli#0006,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s06,caller,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s07,callee,helpful,helpful,helpful
commons-cli#0006,commons-cli,train,s08,field_or_type_declaration,essential,essential,essential
commons-cli#0006,commons-cli,train,s09,test,irrelevant,helpful,helpful
commons-cli#0007,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0007,commons-cli,train,s02,enclosing_method,essential,essential,essential
commons-cli#0007,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0007,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0007,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0007,commons-cli,train,s06,caller,helpful,helpful,helpful
commons-cli#0007,commons-cli,train,s07,callee,helpful,helpful,helpful
commons-cli#0007,commons-cli,train,s09,field_or_type_declaration,helpful,essential,essential
commons-cli#0007,commons-cli,train,s10,test,irrelevant,helpful,helpful
commons-cli#0008,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0008,commons-cli,train,s02,enclosing_method,essential,helpful,essential
commons-cli#0008,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0008,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0008,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0008,commons-cli,train,s06,caller,helpful,helpful,helpful
commons-cli#0008,commons-cli,train,s07,callee,helpful,helpful,helpful
commons-cli#0008,commons-cli,train,s08,field_or_type_declaration,essential,essential,essential
commons-cli#0008,commons-cli,train,s09,test,irrelevant,helpful,helpful
commons-cli#0008,commons-cli,train,s10,similar_code,helpful,irrelevant,helpful
commons-cli#0009,commons-cli,train,s01,warning_line,essential,helpful,essential
commons-cli#0009,commons-cli,train,s02,enclosing_method,essential,essential,essential
commons-cli#0009,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0009,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0009,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0009,commons-cli,train,s06,caller,helpful,irrelevant,helpful
commons-cli#0009,commons-cli,train,s07,field_or_type_declaration,helpful,essential,essential
commons-cli#0009,commons-cli,train,s08,test,irrelevant,helpful,helpful
commons-cli#0009,commons-cli,train,s09,similar_code,helpful,helpful,helpful
commons-cli#0010,commons-cli,train,s01,warning_line,essential,essential,essential
commons-cli#0010,commons-cli,train,s02,enclosing_method,essential,helpful,essential
commons-cli#0010,commons-cli,train,s03,enclosing_class,helpful,helpful,helpful
commons-cli#0010,commons-cli,train,s04,caller,helpful,helpful,helpful
commons-cli#0010,commons-cli,train,s05,caller,helpful,helpful,helpful
commons-cli#0010,commons-cli,train,s06,caller,helpful,helpful,helpful
commons-cli#0010,commons-cli,train,s07,callee,helpful,irrelevant,helpful
commons-cli#0010,commons-cli,train,s08,field_or_type_declaration,essential,essential,essential
commons-cli#0010,commons-cli,train,s09,test,irrelevant,helpful,helpful
commons-cli#0010,commons-cli,train,s10,similar_code,helpful,irrelevant,helpful
commons-codec#0001,commons-codec,train,s01,warning_line,essential,helpful,essential
commons-codec#0001,commons-codec,train,s02,enclosing_method,essential,essential,essential
commons-codec#0001,commons-codec,train,s03,enclosing_class,helpful,helpful,helpful
commons-codec#0001,commons-codec,train,s04,field_or_type_declaration,helpful,essential,essential
commons-codec#0001,commons-codec,train,s05,test,irrelevant,helpful,helpful
commons-codec#0002,commons-codec,train,s01,warning_line,essential,essential,essential
commons-codec#0002,commons-codec,train,s02,enclosing_method,essential,essential,essential
commons-codec#0002,commons-codec,train,s03,enclosing_class,helpful,essential,essential
commons-codec#0002,commons-codec,train,s04,caller,helpful,helpful,helpful
commons-codec#0002,commons-codec,train,s05,caller,helpful,helpful,helpful
commons-codec#0002,commons-codec,train,s06,caller,helpful,helpful,helpful
commons-codec#0002,commons-codec,train,s07,callee,helpful,irrelevant,helpful
commons-codec#0002,commons-codec,train,s08,callee,helpful,irrelevant,helpful
