project,method,n,recall@3,mrr,ndcg@5,non_local_recovery@3
jackson-core,embedding_all-MiniLM-L6-v2,12,0.486,0.708,0.881,0.333
jackson-core,type_priority,12,0.917,1.000,0.995,0.667
jackson-databind,local_first,13,0.821,1.000,0.959,0.300
jackson-databind,bm25,13,0.500,0.558,0.841,0.400
jackson-databind,embedding_all-MiniLM-L6-v2,13,0.487,0.577,0.836,0.200
jackson-databind,type_priority,13,0.897,1.000,0.989,0.600
jsoup,local_first,3,0.778,1.000,0.985,0.000
jsoup,bm25,3,0.444,0.583,0.871,0.500
jsoup,embedding_all-MiniLM-L6-v2,3,0.500,0.611,0.843,0.000
jsoup,type_priority,3,0.889,1.000,0.995,0.500
junit4,local_first,13,0.795,1.000,0.958,0.333
junit4,bm25,13,0.487,0.582,0.787,0.417
junit4,embedding_all-MiniLM-L6-v2,13,0.513,0.646,0.826,0.333
junit4,type_priority,13,0.846,1.000,0.979,0.500
lettuce-core,local_first,17,0.784,1.000,0.951,0.083
lettuce-core,bm25,17,0.471,0.497,0.819,0.167
lettuce-core,embedding_all-MiniLM-L6-v2,17,0.500,0.634,0.837,0.167
lettuce-core,type_priority,17,0.941,1.000,0.996,0.750
maven-shade-plugin,local_first,2,1.000,1.000,1.000,1.000
maven-shade-plugin,bm25,2,0.583,0.667,0.904,1.000
maven-shade-plugin,embedding_all-MiniLM-L6-v2,2,1.000,0.750,0.945,1.000
maven-shade-plugin,type_priority,2,0.833,1.000,0.993,0.000
mybatis-3,local_first,16,0.792,1.000,0.959,0.000
mybatis-3,bm25,16,0.448,0.410,0.805,0.100
mybatis-3,embedding_all-MiniLM-L6-v2,16,0.604,0.542,0.834,0.200
mybatis-3,type_priority,16,0.958,1.000,0.993,0.800
mybatis-spring,local_first,1,0.667,1.000,0.986,0.000
mybatis-spring,bm25,1,0.667,1.000,0.986,1.000
mybatis-spring,embedding_all-MiniLM-L6-v2,1,0.333,1.000,0.862,1.000
mybatis-spring,type_priority,1,0.667,1.000,0.978,0.000
